Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Location,DailyRate,HourlyRate,MonthlyRate,EnvironmentSatisfaction,Tenure_Years
57,No,Non-Travel,Admin,1,High School,1,Female,4,3,Associate,1,Single,221790.0,8,No,22.6,2,4,8,1,2,2,7,1,Chandigarh,709,65,36384,2,2
53,Yes,Travel_Rarely,Marketing,14,Diploma,3,Male,3,5,Senior,1,Married,233737.0,5,Yes,17.7,2,1,2,2,1,1,2,6,Kolkata,1279,102,44448,2,1
42,No,Travel_Frequently,IT,24,Bachelor's,1,Male,2,3,Analyst,2,Single,50257.0,1,No,22.4,2,3,12,5,2,4,7,3,Jaipur,1736,103,43121,1,4
55,No,Travel_Rarely,Admin,25,High School,2,Male,4,2,Senior,4,Divorced,136783.0,7,No,10.7,3,1,24,2,2,8,1,4,Bangalore,1919,156,30650,4,8
30,No,Non-Travel,Admin,12,PhD,1,Male,2,2,Junior,1,Married,39068.0,4,Yes,22.1,4,4,2,6,4,0,10,6,Ahmedabad,912,190,20413,2,0
34,Yes,Travel_Frequently,R&D,18,Diploma,1,Female,3,4,Lead,1,Married,77024.0,9,Yes,15.7,2,2,13,4,3,2,3,5,Kolkata,1273,121,32282,3,2
27,No,Non-Travel,Sales,16,Master's,4,Female,4,4,Lead,3,Married,227441.0,0,No,11.1,3,2,2,5,4,1,4,3,Chennai,1934,193,30873,1,1
29,Yes,Travel_Frequently,Sales,8,Diploma,5,Male,2,1,Senior,4,Single,182303.0,8,No,15.8,5,3,19,0,4,14,7,6,Delhi,656,60,45282,4,14
31,Yes,Non-Travel,HR,3,High School,2,Female,2,2,Executive,4,Divorced,91687.0,8,No,10.7,1,1,20,3,3,6,1,7,Ahmedabad,861,53,19097,4,6
28,No,Non-Travel,Operations,1,Diploma,2,Male,1,4,Associate,2,Married,249596.0,8,No,19.4,2,4,8,2,4,4,3,1,Chandigarh,912,199,20023,1,4
58,No,Travel_Frequently,Operations,20,B.Tech,3,Male,4,2,Lead,3,Married,38143.0,5,No,16.3,3,2,13,3,1,11,0,5,Kolkata,774,137,12938,4,11
54,Yes,Non-Travel,Finance,19,PhD,1,Female,4,4,Associate,1,Single,79511.0,0,No,21.7,4,3,0,6,2,0,7,2,Chandigarh,898,97,23126,4,0
36,No,Travel_Rarely,Engineering,13,Diploma,1,Female,1,5,Manager,1,Divorced,81216.0,3,Yes,22.4,4,1,7,1,2,6,2,5,Hyderabad,841,60,27168,1,6
49,Yes,Travel_Frequently,Sales,1,PhD,4,Female,2,2,Junior,2,Single,105341.0,9,No,12.3,3,3,13,5,3,5,4,1,Ahmedabad,1591,80,26166,1,5
50,No,Non-Travel,IT,23,B.Tech,3,Female,1,2,Executive,4,Separated,33418.0,8,Yes,17.7,4,3,5,5,2,4,9,3,Bangalore,1341,54,13009,4,4
35,Yes,Travel_Rarely,Marketing,29,B.Tech,2,Male,2,5,Analyst,4,Married,115449.0,3,Yes,10.9,2,4,5,6,4,5,3,8,Bangalore,1251,99,19289,3,5
34,Yes,Travel_Frequently,Engineering,28,PhD,3,Female,2,4,Manager,4,Married,98677.0,0,Yes,20.2,2,2,12,0,4,3,4,7,Delhi,855,175,14924,1,3
56,Yes,Non-Travel,Operations,15,Diploma,5,Male,4,1,Manager,4,Divorced,172293.0,0,No,14.6,2,4,18,4,1,0,6,2,Hyderabad,883,129,43144,1,0
55,No,Non-Travel,R&D,4,M.Sc,2,Female,4,5,Executive,4,Single,188051.0,0,Yes,21.0,3,1,22,3,4,7,1,8,Pune,1260,82,30792,4,7
48,Yes,Travel_Rarely,IT,11,Bachelor's,5,Male,4,3,Senior,1,Divorced,136783.0,10,Yes,11.5,4,2,25,5,2,5,1,1,Pune,1865,124,43583,4,5
39,Yes,Non-Travel,R&D,12,High School,2,Female,1,5,Lead,4,Married,194563.0,0,Yes,16.7,3,1,17,0,2,6,5,2,Jaipur,1912,81,18824,2,6
37,No,Non-Travel,Marketing,23,MBA,3,Male,3,4,Executive,4,Single,53503.0,0,No,11.0,3,2,14,4,2,3,5,9,Ahmedabad,1058,164,30065,2,3
22,No,Travel_Frequently,Engineering,18,Diploma,1,Male,2,1,Executive,2,Divorced,144452.0,4,Yes,15.6,4,3,3,5,4,2,2,5,Mumbai,944,118,22934,3,2
22,No,Travel_Rarely,Finance,17,MBA,5,Female,2,2,Specialist,4,Married,239348.0,6,Yes,18.6,3,3,25,0,2,8,2,7,Mumbai,1164,61,16339,2,8
46,Yes,Travel_Rarely,Finance,9,Bachelor's,4,Male,4,1,Executive,1,Single,196708.0,8,No,15.8,3,1,15,1,2,6,6,5,Bangalore,1816,197,18759,3,6
54,No,Non-Travel,Admin,13,MBA,4,Male,1,5,Executive,4,Married,98470.0,7,Yes,20.5,4,3,5,5,1,0,10,3,Kolkata,1689,75,31327,3,0
